TransactionID,Date,CustomerName,City,State,Category,Product,Quantity,UnitPrice,Discount,SalesRep,Region,Notes
TXN-1047,1/27/2024,Blue Ridge LLC,Charlotte,NC,Electronics,Bluetooth Speaker,13,49.99,0.2,Aisha Patel,South,Express shipping
TXN-1022,1/28/2024,Crestview Inc,Chicago,IL,Electronics,Wireless Mouse,20,29.99,0,Aisha Patel,South,Standard delivery
TXN-1024,1/28/2024,Harbor Group,Seattle,WA,Office Supplies,Ballpoint Pens,12,3.49,0.1,Tom Brooks,Central,N/A
TXN-1033,1/28/2024,Maple Leaf Corp,Toronto,ON,Furniture,Monitor Stand,16,89.99,0.1,Aisha Patel,South,Standard delivery
TXN-1029,1/30/2024,Crestview Inc,Chicago,IL,Furniture,Monitor Stand,8,89.99,0.05,Tom Brooks,Central,New customer
TXN-1019,2/4/2024,Redwood Partners,Sacramento,CA,Electronics,USB Hub,18,24.99,0.1,Chris Evans,North,Express shipping
TXN-1013,2/5/2024,Maple Leaf Corp,Toronto,ON,Furniture,Office Chair,10,299.99,0.2,Aisha Patel,South,Loyalty reward
TXN-1031,2/6/2024,Summit Enterprises,Dallas,TX,Office Supplies,Ballpoint Pens,12,3.49,0.2,Aisha Patel,South,Express shipping
TXN-1028,2/9/2024,Pinecrest Ltd,Atlanta,GA,Furniture,Bookshelf,12,189.99,0,Jordan Lee,East,Express shipping
TXN-1001,2/12/2024,Blue Ridge LLC,Charlotte,NC,Office Supplies,Sticky Notes,18,4.99,0,Maria Santos,West,Express shipping
TXN-1011,2/14/2024,Maple Leaf Corp,Toronto,ON,Office Supplies,Stapler,3,12.99,0.1,Maria Santos,West,Express shipping
TXN-1032,2/17/2024,Peak Solutions,Denver,CO,Electronics,Wireless Mouse,16,29.99,0.05,Jordan Lee,East,Express shipping
TXN-1014,2/20/2024,Crestview Inc,Chicago,IL,Electronics,Bluetooth Speaker,6,49.99,0,Chris Evans,North,N/A
TXN-1050,2/21/2024,Sunrise Trading,Miami,FL,Electronics,USB Hub,14,24.99,0.15,Aisha Patel,South,Express shipping
TXN-1021,2/22/2024,Redwood Partners,Sacramento,CA,Electronics,Bluetooth Speaker,2,49.99,0.05,Aisha Patel,South,Standard delivery
TXN-1030,2/22/2024,Lakeside Co,Minneapolis,MN,Electronics,Keyboard,12,54.99,0,Maria Santos,West,Priority order
TXN-1008,2/25/2024,Lakeside Co,Minneapolis,MN,Office Supplies,Desk Organizer,12,19.99,0.05,Chris Evans,North,New customer
TXN-1045,2/27/2024,Summit Enterprises,Dallas,TX,Furniture,Monitor Stand,17,89.99,0.05,Chris Evans,North,Loyalty reward
TXN-1010,2/28/2024,Blue Ridge LLC,Charlotte,NC,Furniture,Office Chair,17,299.99,0.15,Chris Evans,North,Bulk discount applied
TXN-1046,2/28/2024,Pinecrest Ltd,Atlanta,GA,Furniture,File Cabinet,8,239.99,0.05,Tom Brooks,Central,N/A
TXN-1039,3/6/2024,Harbor Group,Seattle,WA,Furniture,Bookshelf,18,189.99,0.15,Maria Santos,West,Bulk discount applied
TXN-1007,3/12/2024,Summit Enterprises,Dallas,TX,Furniture,Office Chair,7,299.99,0.2,Jordan Lee,East,N/A
TXN-1017,3/12/2024,Crestview Inc,Chicago,IL,Furniture,File Cabinet,13,239.99,0.05,Chris Evans,North,Bulk discount applied
TXN-1006,3/13/2024,Summit Enterprises,Dallas,TX,Electronics,Keyboard,7,54.99,0.1,Maria Santos,West,Standard delivery
TXN-1002,3/16/2024,Maple Leaf Corp,Toronto,ON,Furniture,Standing Desk,3,449.99,0.15,Jordan Lee,East,N/A
TXN-1004,3/22/2024,Summit Enterprises,Dallas,TX,Electronics,Keyboard,13,54.99,0,Tom Brooks,Central,New customer
TXN-1049,3/24/2024,Sunrise Trading,Miami,FL,Electronics,Webcam,15,79.99,0.05,Chris Evans,North,Standard delivery
TXN-1034,3/26/2024,Lakeside Co,Minneapolis,MN,Office Supplies,Ballpoint Pens,6,3.49,0.15,Jordan Lee,East,Express shipping
TXN-1043,3/29/2024,Lakeside Co,Minneapolis,MN,Furniture,Monitor Stand,4,89.99,0,Tom Brooks,Central,New customer
TXN-1012,3/30/2024,Summit Enterprises,Dallas,TX,Furniture,File Cabinet,15,239.99,0,Chris Evans,North,Standard delivery
